Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Admin,Assistant Vice President,"Risk, Compliance & Insurance","Statutory Compliance, Enterprise Risk Management & Insurance Portfolio","• Maintain 100% statutory compliance for local municipal norms, trade licenses, fire safety, and lease agreements. • Lead vendor and internal/external company audit compliance to ensure zero non-conformances. • Oversee timely renewals and competitive quote sourcing for Company Insurance (Property, Assets) & Employee Insurance (Mediclaim, GPA, Term). (Ref: SOW - Risk & Compliance, Company/Employee Insurance, Statutory Compliance)",15.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Manpower & Operations,"Third-Party Manpower Management, Facility Hygiene & Service Standards","• Manage third-party security and housekeeping manpower: maintain attendance, wage control, and statutory compliance. • Maintain high hygiene standards across office premises, washrooms, cafeteria, and pantry services (daily menu, food quality, counts). • Manage telecom infra (EPBX/PRI/SIM card), scrap disposal (IT/Non-IT), petty cash governance, and SAP clearance with Finance. (Ref: SOW - Third Party Manpower, Facility Mgmt, Scrap Mgmt, Telecommunication, Bill Desk)",10.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Travel Management & Staff Welfare,Experience for leadership and Employee Exper,• Overseeing end to end experience of travel desk •Employee Feedback for travel desk should be atleast 4/5 score • Internal/External Customer feedback score should be atleast 4/5 score,10.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Assistant Vice President,Stakeholder & Leadership,"Executive Stakeholder Alignment, Regional Admin & Team Leadership","• Direct fulfillment of executive/C-suite requirements, international delegate hospitality, and VIP arrangements. • Oversee regional administration hubs (Dubai, Chennai) including Visa/Emirates ID compliance and regional facility upkeep. • Handle employee wellness/medicare support, employee grievance redressal, internal events/celebrations, and team leadership. (Ref: SOW - Stakeholders Requirements, Employee Experience/Wellness, Events, Regional Admin)",10.00,Sourced from Administration / Assistant Vice President & Manager - Administration
Admin,Executive,Financial,"Bill Desk Management, Vendor Invoices & Petty Cash","Timely clearing & forwarding of vendor invoices to finance department; managing office boy and Director food petty cash reimbursements. (Ref: SOW - Bill Desk, Petty Cash)",25.00,Sourced from Administration / Executive - Administration
Admin,Executive,Internal / External Customer,"Seating Allocation & Telecommunication Admin, Asset Management, Scrap Disposal & Mobile/Data Card Records","Manage employee seating allocations, EPBX & PRI activation/deactivation, and local office equipment maintenance. (Ref: SOW - Seating Allocation, Telecommunication Mgmt), Inventory tracking & repair of mobile assets, SIM/Data cards allocation, and end-to-end IT & Non-IT scrap management/disposal. (Ref: SOW - Mobile Mgmt, Scrap Mgmt)",20.00,Sourced from Administration / Executive - Administration
Admin,Executive,Process / Operations,"Facility Repairs & Preventive Infrastructure Maintenance, Housekeeping & Security Manpower Supervision. Comprehensive Vendor AMC & Service Contract Management.","Ensure preventive & breakdown maintenance of Fire Safety, CCTV, UPS, AC, Access Control, DG Sets, Electricals, Plumbing, Carpentry, and Water Purifiers. (Ref: SOW - Office Maintenance, Repair & Maint). Daily attendance, duty rosters, and performance tracking of HK & Security staff; verify security registers on a weekly basis. (Ref: SOW - Housekeeping & Security Mgmt, Security Registers)",35.00,Sourced from Administration / Executive - Administration
Admin,Executive,Process / Operations,Data Management,"AMC Up Keep report, Task report, Expenses report - Security, HK, HK Supplies, Repair and Maintanance, , ROI of Guest house, cost saving report. Gift report,",20.00,Sourced from Administration / Executive - Administration
Admin,Manager,Financial,"Commercial Procurement, Vendor Negotiations & Expenditure Control","End-to-end commercial procurement (obtaining quotes, market search, vendor negotiations within budget) and controlling domain expenditure trackers. (Ref: SOW - Procurement, Expenses Mgmt)",20.00,Sourced from Administration / Manager - Administration
Admin,Manager,Process / Operations,Comprehensive Vendor AMC & Service Contract Management,"Oversee 15+ vendor categories (HK, Security, Lease, Stationary, CCTV/Biometric, Consumables, Fire Safety, AC, Pest Control, Courier, Cars, UPS). (Ref: SOW - Vendor Mgmt)",20.00,Sourced from Administration / Manager - Administration
Admin,Manager,Risk & Compliance,"Audit Compliance, Third-Party Manpower & Statutory Governance","Ensure 100% attendance, salary, and statutory compliance for HK & Security manpower; maintain zero non-conformances in vendor/company audits. (Ref: SOW - Third Party Manpower, Risk & Compliance)",20.00,Sourced from Administration / Manager - Administration
Admin,Manager,People / Leadership,Regional Admin Oversight & Team Leadership,"Supervise regional admin operations (Chennai, Dubai) including Forex, Visa/Emirates ID processing, local compliance, and team productivity. (Ref: SOW - Regional Admin)",20.00,Sourced from Administration / Manager - Administration
Admin,Manager,Process / Operations,Data Management,"AMC Up Keep report, Task report, Expenses report - Security, HK, HK Supplies, Repair and Maintanance, , ROI of Guest house, cost saving report. Gift report,",20.00,Sourced from Administration / Manager - Administration
Admin,Office Assistant,Internal / External Customer,"Physical Mail Dispatch, Document Delivery & Support","Handling internal file movement, bank work, physical letter/courier deliveries, and supporting front desk administrative tasks. (Ref: SOW - Courier, General Admin)",20.00,Sourced from Administration / Office Assistant
Admin,Office Assistant,Process / Operations,"Cafeteria, Pantry & Food Service Management","Assist in daily menu finalization, food hygiene check, snacks count confirmation, and serving refreshments during Director/management meetings. (Ref: SOW - Cafetaria / Pantry services)",35.00,Sourced from Administration / Office Assistant
Admin,Office Assistant,Process / Operations,Office Facility Hygiene & Cleanliness Maintenance,"Monitor daily floor cleanliness, cafeteria upkeep, washroom hygiene, and overall office premise cleanliness. (Ref: SOW - Facility Mgmt, Hygiene)",30.00,Sourced from Administration / Office Assistant
Admin,Office Assistant,Financial / Discipline,Petty Cash Handling for Refreshments & Emergency Needs,"Maintain petty cash vouchers and receipts for office boy expenses, Director food needs, and daily pantry items. (Ref: SOW - Petty Cash)",15.00,Sourced from Administration / Office Assistant
Admin,Senior Executive,Financial,Travel & Event Expense Processing & Finance Liaisoning,Weekly and monthly travel and event expense statement verification and timely forwarding to Finance for payments. (Ref: SOW - Expenses Mgmt),20.00,Sourced from Administration / Senior Executive - Administration
Admin,Senior Executive,Internal / External Customer,"End-to-End Travel Desk, Guest House & Transport Management, Happay tool utlization. Middle east Insurance & Licenses","Manage domestic/international ticket/hotel bookings, Happay portal, forex distribution, VISA, travel insurance, guest house allocation & bus/OLA transport. (Ref: SOW - Travel Desk, Guest House, Transport). Timely renewal of Middle east insurance, Trade licenses.",35.00,Sourced from Administration / Senior Executive - Administration
Admin,Senior Executive,Process / Operations,"Comprehensive Vendor AMC & Service Contract Management, Trael vendor management.","Oversee 15+ vendor categories (HK, Security, Lease, Stationary, CCTV/Biometric, Consumables, Fire Safety, AC, Pest Control, Courier, Cars, UPS). (Ref: SOW - Vendor Mgmt), New vendors and tie - up s with hotels and Airlines.",20.00,Sourced from Administration / Senior Executive - Administration
Admin,Senior Executive,Process / Operations/ Reports,Data Management,"AMC Up Keep report, Task report, Expenses report - Flight, Forex, Hotel bookings, ROI of Guest house, cost saving report, Happay v/s Travel bookig report",25.00,Sourced from Administration / Senior Executive - Administration
Admin,Tele Caller Assistant,Internal / External Customer,Front Desk Operations & Business Call Management,"Attending, greeting, and redirecting incoming business calls with zero delay; maintaining professional front desk demeanor. (Ref: SOW - Front Desk Management)",30.00,Sourced from Administration / Front Desk Executive
Admin,Tele Caller Assistant,Internal / External Customer,"Visitor, Guest Management & Security Register Verification, Inward / Outward Courier & Client Gifting Dispatch, Events and Celebration.","Meet & greet visitors/guests, align them to right stakeholders, issue badges, and maintain visitor/security registers on a weekly basis. (Ref: SOW - Visitor & Guest Mgmt, Security Registers), Manage inward and outward courier log entries, client/festival gifting distribution, and track dispatch status. (Ref: SOW - Courier Services), procure quotes from hotels for conference, training and events.",25.00,Sourced from Administration / Front Desk Executive
Admin,Tele Caller Assistant,Internal / External Customer,Meeting Room Allocation & Employee Onboarding Support,"Manage meeting room booking requests, issue ID cards during employee onboarding, and coordinate systems collection upon offboarding. (Ref: SOW - Meeting Room Booking, Employee Onboarding)",20.00,Sourced from Administration / Front Desk Executive
Admin,Tele Caller Assistant,Process / Operations,"Data Management, Adhoc Work","Task report, updataion of Expenses report, Security Register, Internal event expenses report. Travel booking report",25.00,Sourced from Administration / Front Desk Executive
Application Support,Assistant Vice President,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be reviewed with L2/L3 and closed end to end,10.00,Dependancy on development team; Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,Weekly Review with L3/L2,100% Submission of Monthly performance report,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,Meeting with Client,Weekly/fortnightly meeting with proper MOM & Actionable. 100% closer of actioable before next meeting,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2/L3and publish in repository on monthly basis,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Project / Process,Knowledge Transfer,Understand the product from Development and give knowledage session to next level team (L1/L2/L3). Min 2 sessions monthly.,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,People,JIRA,Review of JIRA to make sure 100% adherence done by the L1/L2/L3,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Assistant Vice President,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Executive,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Application Support,Executive,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support
Application Support,Executive,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support
Application Support,Executive,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Executive,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Lead,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Project / Process,Issue Analysis - Application Defect Indentification,100%cases reported by client to be closed end to end,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Project / Process,Weekly Review with L1/L2,100% Submission of weekly tracker,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2 and publish in repository on monthly basis | min 10 unique knowledge article submission on quarterly basis,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support; Sourced from Application Support / L3 Support; Merged 2 rows with the same KRA; weight kept at 10 (identical on all 2 rows)
Application Support,Lead,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,People,Time sheet,100% Adherence,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,People,JIRA,100% Adherence,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Lead,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Project / Process,Issue Analysis - Application Defect Indentification,100%cases reported by client to be closed end to end,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Project / Process,Weekly Review with L1/L2,100% Submission of weekly tracker,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2 and publish in repository on monthly basis | min 10 unique knowledge article submission on quarterly basis,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support; Sourced from Application Support / L3 Support; Merged 2 rows with the same KRA; weight kept at 10 (identical on all 2 rows)
Application Support,Manager,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,People,Time sheet,100% Adherence,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,People,JIRA,100% Adherence,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Manager,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Application Support,Senior Manager,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be reviewed with L2/L3 and closed end to end,10.00,Dependancy on development team; Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,Weekly Review with L3/L2,100% Submission of Monthly performance report,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,Meeting with Client,Weekly/fortnightly meeting with proper MOM & Actionable. 100% closer of actioable before next meeting,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2/L3and publish in repository on monthly basis,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Project / Process,Knowledge Transfer,Understand the product from Development and give knowledage session to next level team (L1/L2/L3). Min 2 sessions monthly.,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,People,JIRA,Review of JIRA to make sure 100% adherence done by the L1/L2/L3,10.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Manager,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / AVP - Application Support
Application Support,Senior Software Analyst,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,Review daily Task of L1 Support /Monitoring,100% Submission of daily tracker,10.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Project / Process,Product and Infra Setup Understanding,min 10 unique knowledge article submission on quarterly basis,10.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,Internal / External Customer,C-SAT,8 by 10,5.00,Templatised data from client and internal manager; Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,People,Time sheet,100% Adherence,5.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,People,JIRA,100% Adherence,10.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / L2 Support
Application Support,Senior Software Analyst,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / L2 Support
Application Support,Software Analyst,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support
